EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome,State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalanceRating,SelfRating,ManagerRating
3012-1A41,Leonelle,Simco,Female,30,"Some Travel",Sales,27,IL,White,Doctorate,Marketing,"Sales Executive",Divorced,102059,1,No,2012-01-03,No,10,4,9,7,2014-10-31,Neutral,"Satisfied ",Dissatisfied,1,0,"Meets Expectation",4,3
3012-1A41,Leonelle,Simco,Female,30,"Some Travel",Sales,27,IL,White,Doctorate,Marketing,"Sales Executive",Divorced,102059,1,No,2012-01-03,No,10,4,9,7,2019-10-30,"Very Dissatisfied",Neutral,Dissatisfied,3,1,"Meets Expectation",5,4
3012-1A41,Leonelle,Simco,Female,30,"Some Travel",Sales,27,IL,White,Doctorate,Marketing,"Sales Executive",Divorced,102059,1,No,2012-01-03,No,10,4,9,7,2018-10-30,"Very Satisfied","Very Satisfied","Satisfied ",3,0,"Exceeds Expectation ",5,5
3012-1A41,Leonelle,Simco,Female,30,"Some Travel",Sales,27,IL,White,Doctorate,Marketing,"Sales Executive",Divorced,102059,1,No,2012-01-03,No,10,4,9,7,2017-10-30,"Satisfied ","Satisfied ","Very Satisfied",3,1,"Needs Improvement",3,2
3012-1A41,Leonelle,Simco,Female,30,"Some Travel",Sales,27,IL,White,Doctorate,Marketing,"Sales Executive",Divorced,102059,1,No,2012-01-03,No,10,4,9,7,2016-10-30,Neutral,Neutral,Dissatisfied,3,0,"Exceeds Expectation ",3,3
CBCB-9C9D,Leonerd,Aland,Male,38,"Some Travel",Sales,23,CA,White,"Masters ",Marketing,"Sales Executive",Single,157718,0,Yes,2012-01-04,No,10,6,10,0,2020-07-29,Neutral,Dissatisfied,Dissatisfied,2,0,"Needs Improvement",3,3
CBCB-9C9D,Leonerd,Aland,Male,38,"Some Travel",Sales,23,CA,White,"Masters ",Marketing,"Sales Executive",Single,157718,0,Yes,2012-01-04,No,10,6,10,0,2014-07-31,"Very Satisfied","Very Satisfied","Satisfied ",3,2,"Meets Expectation",4,4
CBCB-9C9D,Leonerd,Aland,Male,38,"Some Travel",Sales,23,CA,White,"Masters ",Marketing,"Sales Executive",Single,157718,0,Yes,2012-01-04,No,10,6,10,0,2019-07-30,"Satisfied ",Neutral,"Satisfied ",3,2,"Meets Expectation",4,3
CBCB-9C9D,Leonerd,Aland,Male,38,"Some Travel",Sales,23,CA,White,"Masters ",Marketing,"Sales Executive",Single,157718,0,Yes,2012-01-04,No,10,6,10,0,2018-07-30,"Very Satisfied",Dissatisfied,"Very Satisfied",2,0,"Needs Improvement",5,5
CBCB-9C9D,Leonerd,Aland,Male,38,"Some Travel",Sales,23,CA,White,"Masters ",Marketing,"Sales Executive",Single,157718,0,Yes,2012-01-04,No,10,6,10,0,2017-07-30,Neutral,"Very Satisfied","Very Satisfied",2,0,"Needs Improvement",4,3
CBCB-9C9D,Leonerd,Aland,Male,38,"Some Travel",Sales,23,CA,White,"Masters ",Marketing,"Sales Executive",Single,157718,0,Yes,2012-01-04,No,10,6,10,0,2016-07-30,Neutral,Neutral,Dissatisfied,2,0,"Above and Beyond",4,4
95D7-1CE9,Ahmed,Sykes,Male,43,"Some Travel","Human Resources",29,CA,"Asian or Asian American","Masters ","Marketing ","HR Business Partner",Married,309964,1,No,2012-01-04,No,10,6,10,8,2020-04-07,"Satisfied ",Dissatisfied,Neutral,3,0,"Above and Beyond",3,2
95D7-1CE9,Ahmed,Sykes,Male,43,"Some Travel","Human Resources",29,CA,"Asian or Asian American","Masters ","Marketing ","HR Business Partner",Married,309964,1,No,2012-01-04,No,10,6,10,8,2019-04-08,Neutral,"Satisfied ",Dissatisfied,3,0,"Needs Improvement",3,3
